request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.4 today. This leaves at least EUR 400.0 available over the next 90 days.
request_190,1225.13,affordable_later,wait,2025-01-15:2557.50,2025-01-15,none,Pay EUR 2557.5 in full on 2025-01-15. Paying earlier would take the balance below the EUR 1600.0 minimum.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.4 today. This leaves at least EUR 500.0 available over the next 90 days.
request_192,76.1,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-05-11. None of the available options keeps the USD 1000.0 minimum protected.
request_193,99.64,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-04-15,none,"Use 3 installments of EUR 420.23, starting 2024-03-21. This leaves at least EUR 1000.0 available."
request_194,65281.02,affordable_later,wait,2025-09-23:132800,2025-09-23,none,Pay INR 132800.0 in full on 2025-09-23. Paying earlier would take the balance below the INR 113600.0 minimum.
request_195,1170.4,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-06,none,"Use 3 installments of EUR 405.74, starting 2026-01-09. This leaves at least EUR 700.0 available."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 500.00 available over the next 90 days.
request_197,34434278.9,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-01-21. None of the available options keeps the IDR 26245900.0 minimum protected.
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Pay INR 185800.00 today. This leaves at least INR 124300.00 available over the next 90 days.
request_199,23674000.0,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8206986.67, starting 2024-09-07. This leaves at least IDR 25359500.00 available."
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Pay IDR 21717000.00 today. This leaves at least IDR 20114600.00 available over the next 90 days.
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Pay IDR 23997000.0 today. This leaves at least IDR 17304500.0 available over the next 90 days.
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Pay INR 123900.0 today. This leaves at least INR 147800.0 available over the next 90 days.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 2025-05-10. This leaves at least EUR 1400.0 available."
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,Pay EUR 588.74 today. This leaves at least EUR 1300.0 available over the next 90 days.
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay IDR 10621000.0 today. This leaves at least IDR 13994300.0 available over the next 90 days.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 2025-08-03. This leaves at least EUR 900.0 available."
request_207,6699.84,affordable_later,wait,2026-07-15:11830,2026-07-15,none,Pay ZAR 11830.0 in full on 2026-07-15. Paying earlier would take the balance below the ZAR 13600.0 minimum.
request_208,4413000.0,affordable_now,full_payment,2024-06-07:4413000,2024-06-07,none,Pay IDR 4413000.0 today. This leaves at least IDR 10470700.0 available over the next 90 days.
request_209,4750.98,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-11-25. None of the available options keeps the ZAR 18400.0 minimum protected.
request_210,720.94,affordable_with_plan,partial_payment,2026-04-06:720.94|2026-04-15:639.08,2026-04-15,none,"Use 2 installments of USD 680.01, starting 2026-04-06. This leaves at least USD 2000.0 available."
request_211,433.74,affordable_later,wait,2024-11-15:1788.60,2024-11-15,none,Pay EUR 1788.60 in full on 2024-11-15. Paying earlier would take the balance below the EUR 1500.0 minimum.
request_212,11852234.33,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-28. None of the available options keeps the IDR 29579800.0 minimum protected.
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Use 3 installments of USD 1165.63, starting 2026-01-21. This leaves at least USD 2100.0 available."
request_214,69750.0,affordable_with_plan,installments,2024-12-04:36270|2025-01-01:36270,2024-12-04,none,"Use 2 installments of INR 36270, starting 2024-12-04. This leaves at least INR 174900.0 available."
request_215,29986.0,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10395.15, starting 2025-05-09. This leaves at least ZAR 15700.0 available."
request_216,733.43,affordable_later,wait,2026-09-15:3332.40,2026-09-15,none,Pay USD 3332.40 in full on 2026-09-15. Paying earlier would take the balance below the USD 1800.0 minimum.
request_217,25748.77,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-04-15,none,"Use 3 installments of ZAR 12889.07, starting 2024-03-19. This leaves at least ZAR 26800.0 available."
request_218,31620299.71,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-15,none,"Use 3 installments of IDR 21195893.33, starting 2025-08-07. This leaves at least IDR 34477200.0 available."
request_219,713.94,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,"Use 3 installments of EUR 580.01, starting 2026-04-07. This leaves at least EUR 1100.0 available."
request_220,83.4,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-07-03. None of the available options keeps the EUR 1100.0 minimum protected.
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay INR 109800.0 today. This leaves at least INR 81500.0 available over the next 90 days.
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay ZAR 34078.0 today. This leaves at least ZAR 27300.0 available over the next 90 days.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.7 today. This leaves at least EUR 800.0 available over the next 90 days.
request_224,10327000.0,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,"Use 2 installments of IDR 5370040, starting 2025-02-04. This leaves at least IDR 22187600.0 available."
request_225,15752411.52,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-07-15,none,"Use 3 installments of IDR 7647120, starting 2026-07-20. This leaves at least IDR 17670700.0 available."
request_226,111143.16,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-01-15. None of the available options keeps the INR 209400.0 minimum protected.
request_227,18354.99,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-06-20. None of the available options keeps the INR 62900.0 minimum protected.
request_228,2122682.3,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-04-30. None of the available options keeps the IDR 26191200.0 minimum protected.
request_229,628.26,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-04-15,none,"Use 3 installments of EUR 529.29, starting 2024-03-18. This leaves at least EUR 1000.0 available."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,Pay EUR 3537.6 today. This leaves at least EUR 2000.0 available over the next 90 days.
request_231,35706.0,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-03,none,"Use 3 installments of ZAR 12378.08, starting 2026-01-06. This leaves at least ZAR 24300.0 available."
request_232,921.65,affordable_later,wait,2024-08-15:1970.10,2024-08-15,none,Pay EUR 1970.1 in full on 2024-08-15. Paying earlier would take the balance below the EUR 2400.0 minimum.
request_233,1740702.88,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-12-17. None of the available options keeps the IDR 10365700.0 minimum protected.
request_234,286.41,affordable_later,wait,2026-08-15:1213.30,2026-08-15,none,Pay EUR 1213.3 in full on 2026-08-15. Paying earlier would take the balance below the EUR 700.0 minimum.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.2 today. This leaves at least USD 700.0 available over the next 90 days.
request_236,9803870.93,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-23. None of the available options keeps the IDR 16768600.0 minimum protected.
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Pay IDR 23826000 today. This leaves at least IDR 22431500.0 available over the next 90 days.
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 2024-12-07. This leaves at least USD 700.0 available."
request_239,642.0,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 today. This leaves at least USD 600.0 available over the next 90 days.
request_240,15325.46,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-20. None of the available options keeps the INR 52800.0 minimum protected.
request_241,21052000.0,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7298026.67, starting 2024-03-17. This leaves at least IDR 19252000.0 available."
request_242,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-08-25. None of the available options keeps the EUR 600.0 minimum protected.
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay ZAR 17468.0 today. This leaves at least ZAR 19900.0 available over the next 90 days.
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Pay ZAR 49918.0 today. This leaves at least ZAR 45900.0 available over the next 90 days.
request_245,55146.23,affordable_later,wait,2025-11-15:128500,2025-11-15,none,Pay INR 128500.0 in full on 2025-11-15. Paying earlier would take the balance below the INR 94600.0 minimum.
request_246,64086.0,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22216.48, starting 2026-04-03. This leaves at least ZAR 39300.0 available."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,Pay EUR 1059.3 today. This leaves at least EUR 1300.0 available over the next 90 days.
request_248,601.66,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-28. None of the available options keeps the USD 1300.0 minimum protected.
request_249,277.75,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-15. None of the available options keeps the USD 600.0 minimum protected.
request_250,15764.63,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-01-18. None of the available options keeps the ZAR 35300.0 minimum protected.
request_251,1492.5,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-06-06. None of the available options keeps the EUR 1300.0 minimum protected.
request_252,6405659.63,affordable_later,wait,2026-08-15:28082000,2026-08-15,none,Pay IDR 28082000.0 in full on 2026-08-15. Paying earlier would take the balance below the IDR 15152200.0 minimum.
request_253,1881.16,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-03-15,none,"Use 3 installments of EUR 984.60, starting 2024-03-21. This leaves at least EUR 2300.0 available."
request_254,986.91,affordable_later,wait,2025-09-15:3535.20,2025-09-15,none,Pay USD 3535.20 in full on 2025-09-15. Paying earlier would take the balance below the USD 2500.0 minimum.
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay IDR 3345000.0 today. This leaves at least IDR 9813900.0 available over the next 90 days.
request_256,171744.04,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-06-15,none,"Use 3 installments of INR 75816, starting 2024-06-10. This leaves at least INR 168600.0 available."
request_257,737.59,affordable_later,wait,2025-11-15:1352.40,2025-11-15,none,Pay USD 1352.4 in full on 2025-11-15. Paying earlier would take the balance below the USD 1600.0 minimum.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,Pay USD 1113.6 today. This leaves at least USD 500.0 available over the next 90 days.
request_259,217.14,affordable_later,wait,2024-11-15:935,2024-11-15,none,Pay EUR 935.0 in full on 2024-11-15. Paying earlier would take the balance below the EUR 600.0 minimum.
request_260,10021493.38,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-18. None of the available options keeps the IDR 20727700.0 minimum protected.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,Pay EUR 1830.40 today. This leaves at least EUR 1500.0 available over the next 90 days.
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Pay IDR 9236000.0 today. This leaves at least IDR 31018500.0 available over the next 90 days.
request_263,10085.74,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-06-15. None of the available options keeps the ZAR 24100.0 minimum protected.
request_264,23503.78,affordable_later,wait,2026-06-15:111300,2026-06-15,none,Pay INR 111300.0 in full on 2026-06-15. Paying earlier would take the balance below the INR 59500.0 minimum.
request_265,45970.0,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Pay INR 45970.0 today. This leaves at least INR 189700.0 available over the next 90 days.
request_266,935.0,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,"Use 3 installments of EUR 324.13, starting 2025-08-03. This leaves at least EUR 900.0 available."
request_267,1925.0,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-05,none,"Use 3 installments of EUR 667.33, starting 2026-01-08. This leaves at least EUR 1500.0 available."
request_268,1054.87,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Use 3 installments of EUR 841.22, starting 2024-06-14. This leaves at least EUR 1400.0 available."
request_269,3012.72,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-01-02. None of the available options keeps the ZAR 23100.0 minimum protected.
request_270,294.96,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-08-30. None of the available options keeps the USD 1400.0 minimum protected.
request_271,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-11-15. None of the available options keeps the INR 58200.0 minimum protected.
request_272,6951991.55,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-02-15,none,"Use 3 installments of IDR 4709466.67, starting 2025-02-12. This leaves at least IDR 7508600.0 available."
request_273,8824133.25,affordable_with_plan,partial_payment,2026-04-07:8824133.25|2026-04-15:7036866.75,2026-04-15,none,"Use 2 installments of IDR 7036866.75, starting 2026-04-07. This leaves at least IDR 18774600.0 available."
request_274,2662.15,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-15,none,"Use 3 installments of EUR 940.75, starting 2024-12-04. This leaves at least EUR 1800.0 available."
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay IDR 15884000.0 today. This leaves at least IDR 12760100.0 available over the next 90 days.
